backbone_1,backbone_2,mean_1,mean_2,observed_diff,bootstrap_p,ci_95_lo,ci_95_hi,cohens_d,significant_0.05
densenet121,resnet50,0.30393311343585555,0.37148851127074733,-0.06755539783489178,0.0002,-0.03500180786952978,0.03535498205388506,-0.3106544977963795,True
densenet121,efficientnet_b3,0.30393311343585555,0.3981783094169407,-0.09424519598108516,0.0,-0.03727640426884143,0.03858718379701988,-0.41575839887413346,True
densenet121,mobilenet_v3_large,0.30393311343585555,0.399393584594895,-0.09546047115903944,0.0,-0.03845917821323862,0.03922103804408932,-0.4089665020733576,True
densenet121,swin_t,0.30393311343585555,0.32392912901391047,-0.019996015578054915,0.2754,-0.03531621817427641,0.03600438582133158,-0.08863266536118097,False
resnet50,efficientnet_b3,0.37148851127074733,0.3981783094169407,-0.026689798146193378,0.1298,-0.03455933162908212,0.03447686302900488,-0.1259580370112767,False
resnet50,mobilenet_v3_large,0.37148851127074733,0.399393584594895,-0.027905073324147656,0.1228,-0.035309959482354256,0.03622826108999418,-0.12737056635870744,False
resnet50,swin_t,0.37148851127074733,0.32392912901391047,0.04755938225683687,0.0054,-0.03447133535775245,0.03542048678240946,0.2256762062680878,True
efficientnet_b3,mobilenet_v3_large,0.3981783094169407,0.399393584594895,-0.001215275177954278,0.953,-0.036542620355472386,0.03643839662966588,-0.005324521361956648,False
efficientnet_b3,swin_t,0.3981783094169407,0.32392912901391047,0.07424918040303025,0.0,-0.037160631284667275,0.03514852772563834,0.33712193455786826,True
mobilenet_v3_large,swin_t,0.399393584594895,0.32392912901391047,0.07546445558098452,0.0,-0.036795709634943226,0.03758726962379409,0.3321915920648846,True
