epoch,train_loss,val_loss,val_dice,val_iou,lr,skipped_batches_train,skipped_batches_val,elapsed_s
1,0.654717,0.568761,0.46708,0.38402,1.00e-05,0,0,101.9
2,0.58072,0.536023,0.528377,0.44522,2.80e-05,0,0,100.2
3,0.545773,0.528566,0.521203,0.433154,4.60e-05,0,0,100.9
4,0.51695,0.477458,0.546843,0.469144,6.40e-05,0,0,100.0
5,0.482458,0.469972,0.543651,0.463878,8.20e-05,0,0,101.3
6,0.454772,0.426502,0.575331,0.49936,1.00e-04,0,0,100.1
7,0.42611,0.389639,0.585354,0.511323,1.00e-04,0,0,101.6
8,0.394088,0.398434,0.516278,0.44209,9.99e-05,0,0,101.1
9,0.377033,0.388977,0.576984,0.502454,9.98e-05,0,0,99.1
10,0.355123,0.348505,0.625877,0.562859,9.96e-05,0,0,99.5
11,0.336621,0.350289,0.571415,0.490778,9.93e-05,0,0,100.5
12,0.329158,0.350833,0.57946,0.50469,9.90e-05,0,0,100.1
13,0.310115,0.327038,0.617045,0.544423,9.87e-05,0,0,99.2
14,0.296647,0.353276,0.551636,0.473549,9.83e-05,0,0,100.1
15,0.283151,0.304826,0.631114,0.561095,9.78e-05,0,0,100.1
16,0.266397,0.30642,0.629046,0.562435,9.73e-05,0,0,101.8
17,0.256352,0.308738,0.640885,0.579502,9.68e-05,0,0,100.9
18,0.252198,0.325148,0.599612,0.536203,9.62e-05,0,0,102.3
19,0.235897,0.304714,0.622014,0.557871,9.55e-05,0,0,101.6
20,0.229239,0.313054,0.636091,0.573845,9.48e-05,0,0,101.2
21,0.213498,0.334553,0.576848,0.497771,9.40e-05,0,0,101.7
22,0.203941,0.311621,0.650629,0.590596,9.32e-05,0,0,101.4
23,0.197847,0.329057,0.610801,0.554952,9.24e-05,0,0,102.2
24,0.190562,0.33062,0.621878,0.567981,9.15e-05,0,0,102.3
25,0.185374,0.304646,0.644688,0.586192,9.05e-05,0,0,102.1
26,0.181005,0.295627,0.648401,0.588173,8.96e-05,0,0,101.8
27,0.175777,0.329214,0.63793,0.58594,8.85e-05,0,0,101.0
28,0.171427,0.304843,0.64312,0.581747,8.75e-05,0,0,101.3
29,0.163002,0.302865,0.666037,0.609459,8.64e-05,0,0,99.8
30,0.160055,0.307617,0.684219,0.630899,8.52e-05,0,0,102.0
31,0.1558,0.301925,0.652415,0.594389,8.40e-05,0,0,100.4
32,0.154393,0.303799,0.689713,0.631443,8.28e-05,0,0,99.9
33,0.152609,0.304593,0.655692,0.595435,8.15e-05,0,0,101.1
34,0.147076,0.322866,0.649391,0.58895,8.03e-05,0,0,100.5
35,0.148544,0.31318,0.679188,0.624962,7.89e-05,0,0,99.7
36,0.143405,0.32375,0.663932,0.609541,7.76e-05,0,0,100.2
37,0.141611,0.314018,0.679093,0.622722,7.62e-05,0,0,100.3
38,0.139814,0.325237,0.68294,0.628227,7.48e-05,0,0,100.5
39,0.137533,0.33336,0.673173,0.619662,7.33e-05,0,0,101.0
40,0.136498,0.314543,0.675969,0.620155,7.19e-05,0,0,100.3
41,0.135011,0.318767,0.695857,0.643093,7.04e-05,0,0,100.1
42,0.133157,0.325243,0.665303,0.613615,6.89e-05,0,0,101.7
43,0.131239,0.31357,0.678884,0.623865,6.73e-05,0,0,101.4
44,0.12885,0.317601,0.677473,0.620434,6.58e-05,0,0,101.7
45,0.131533,0.334408,0.682646,0.628128,6.42e-05,0,0,101.2
46,0.133509,0.332533,0.669334,0.614429,6.27e-05,0,0,100.6
47,0.121319,0.323299,0.677199,0.619984,6.11e-05,0,0,101.7
48,0.108857,0.339892,0.685339,0.632167,5.95e-05,0,0,101.3
49,0.093868,0.35019,0.652758,0.608267,5.78e-05,0,0,101.3
50,0.075944,0.315387,0.664403,0.615862,5.62e-05,0,0,101.5
51,0.058968,0.305679,0.670876,0.616467,5.46e-05,0,0,101.1
52,0.050294,0.309165,0.686826,0.63298,5.30e-05,0,0,101.7
53,0.037789,0.344806,0.655908,0.60967,5.13e-05,0,0,101.2
54,0.034844,0.334842,0.655622,0.605035,4.97e-05,0,0,101.7
55,0.02758,0.318217,0.668854,0.618789,4.80e-05,0,0,101.5
56,0.02926,0.324776,0.659993,0.605213,4.64e-05,0,0,100.8
57,0.022238,0.335143,0.659097,0.605104,4.48e-05,0,0,101.2
58,0.019466,0.341464,0.646954,0.594625,4.32e-05,0,0,101.4
59,0.020489,0.314827,0.661673,0.609589,4.15e-05,0,0,101.2
60,0.020485,0.340169,0.654134,0.604836,3.99e-05,0,0,100.6
61,0.016798,0.319305,0.660543,0.609965,3.83e-05,0,0,102.0
