epoch,train_loss,val_loss,val_dice,val_iou,lr,skipped_batches_train,skipped_batches_val,elapsed_s
1,0.751207,0.73572,0.354723,0.251814,1.00e-05,0,0,91.9
2,0.708615,0.666144,0.470932,0.373547,2.80e-05,0,0,89.4
3,0.65169,0.633871,0.47188,0.378794,4.60e-05,0,0,89.0
4,0.595886,0.565287,0.507302,0.423008,6.40e-05,0,0,89.3
5,0.538888,0.490056,0.533818,0.449535,8.20e-05,0,0,89.4
6,0.4791,0.439267,0.542077,0.455585,1.00e-04,0,0,88.7
7,0.430836,0.443265,0.504109,0.415501,1.00e-04,0,0,88.3
8,0.397227,0.452276,0.47845,0.392933,9.99e-05,0,0,86.8
9,0.373089,0.367113,0.539875,0.455542,9.98e-05,0,0,87.9
10,0.35917,0.355742,0.566955,0.489536,9.96e-05,0,0,87.0
11,0.344314,0.343827,0.556915,0.475645,9.93e-05,0,0,87.4
12,0.330375,0.410675,0.501383,0.41717,9.90e-05,0,0,85.8
13,0.318353,0.343293,0.542648,0.460206,9.87e-05,0,0,86.0
14,0.314669,0.324884,0.581344,0.503123,9.83e-05,0,0,86.2
15,0.301296,0.336086,0.578016,0.504022,9.78e-05,0,0,87.0
16,0.295624,0.323881,0.590349,0.513103,9.73e-05,0,0,86.2
17,0.28672,0.319699,0.610503,0.537841,9.68e-05,0,0,89.0
18,0.27813,0.361406,0.519598,0.450635,9.62e-05,0,0,88.7
19,0.272973,0.311484,0.598805,0.526677,9.55e-05,0,0,87.8
20,0.265907,0.3164,0.597964,0.527909,9.48e-05,0,0,87.8
21,0.259748,0.324143,0.582843,0.510249,9.40e-05,0,0,86.4
22,0.254957,0.330444,0.596294,0.526094,9.32e-05,0,0,86.0
23,0.245091,0.319729,0.580595,0.509007,9.24e-05,0,0,87.5
24,0.23943,0.324681,0.594117,0.522607,9.15e-05,0,0,87.5
25,0.233421,0.332507,0.59875,0.527677,9.05e-05,0,0,87.5
26,0.231965,0.329998,0.61952,0.553168,8.96e-05,0,0,87.3
27,0.220671,0.326012,0.594604,0.527959,8.85e-05,0,0,88.2
28,0.21551,0.348373,0.598676,0.529426,8.75e-05,0,0,87.1
29,0.211327,0.330922,0.609138,0.543305,8.64e-05,0,0,87.1
30,0.204981,0.351802,0.597837,0.5247,8.52e-05,0,0,88.1
31,0.203256,0.334475,0.610212,0.544213,8.40e-05,0,0,87.5
32,0.197293,0.375951,0.564004,0.495486,8.28e-05,0,0,87.7
33,0.196563,0.340737,0.61978,0.552179,8.15e-05,0,0,87.5
34,0.189681,0.350298,0.600893,0.536341,8.03e-05,0,0,90.1
