epoch,train_loss,val_loss,val_dice,val_iou,lr,skipped_batches_train,skipped_batches_val,elapsed_s
1,0.768609,0.741321,0.297801,0.201938,1.00e-05,0,0,87.2
2,0.722443,0.681044,0.477935,0.381952,2.80e-05,0,0,77.8
3,0.674052,0.638613,0.471891,0.378228,4.60e-05,0,0,78.4
4,0.619895,0.575066,0.502513,0.415229,6.40e-05,0,0,77.3
5,0.561224,0.522592,0.521485,0.438732,8.20e-05,0,0,77.9
6,0.504971,0.475938,0.506903,0.420831,1.00e-04,0,0,77.1
7,0.457734,0.430307,0.537578,0.455372,1.00e-04,0,0,76.4
8,0.419861,0.406696,0.540773,0.457235,9.99e-05,0,0,77.0
9,0.394546,0.38808,0.538248,0.458213,9.98e-05,0,0,77.7
10,0.371364,0.368688,0.548695,0.472197,9.96e-05,0,0,76.2
11,0.352837,0.366321,0.542935,0.461431,9.93e-05,0,0,77.5
12,0.341049,0.354601,0.549556,0.474235,9.90e-05,0,0,76.0
13,0.327708,0.332937,0.565969,0.488533,9.87e-05,0,0,77.6
14,0.316518,0.345977,0.555196,0.475607,9.83e-05,0,0,77.5
15,0.308221,0.3312,0.565192,0.488702,9.78e-05,0,0,76.4
16,0.297524,0.326217,0.561384,0.483472,9.73e-05,0,0,76.2
17,0.292446,0.321618,0.573594,0.496231,9.68e-05,0,0,76.3
18,0.284031,0.316171,0.594392,0.517192,9.62e-05,0,0,76.8
19,0.273493,0.344552,0.55263,0.47631,9.55e-05,0,0,76.9
20,0.269687,0.33562,0.573747,0.496239,9.48e-05,0,0,76.0
21,0.262661,0.330535,0.584748,0.509345,9.40e-05,0,0,76.7
22,0.257031,0.330575,0.596613,0.525594,9.32e-05,0,0,76.4
23,0.252777,0.341085,0.572471,0.499677,9.24e-05,0,0,77.9
24,0.246147,0.328786,0.596362,0.522482,9.15e-05,0,0,76.5
25,0.23425,0.343996,0.579301,0.505931,9.05e-05,0,0,76.6
26,0.233371,0.346081,0.575224,0.500199,8.96e-05,0,0,76.6
27,0.225399,0.341185,0.601294,0.535707,8.85e-05,0,0,76.6
28,0.227766,0.350085,0.572526,0.502533,8.75e-05,0,0,77.4
29,0.219476,0.348839,0.5637,0.49104,8.64e-05,0,0,76.4
30,0.214095,0.350984,0.570116,0.49959,8.52e-05,0,0,76.2
31,0.211179,0.31228,0.600561,0.529354,8.40e-05,0,0,76.1
32,0.206589,0.340748,0.5842,0.51009,8.28e-05,0,0,76.2
33,0.203356,0.333499,0.578643,0.503795,8.15e-05,0,0,76.3
34,0.199057,0.3964,0.547622,0.479379,8.03e-05,0,0,76.5
35,0.19364,0.340506,0.611904,0.544187,7.89e-05,0,0,76.7
36,0.189669,0.356911,0.606539,0.542272,7.76e-05,0,0,77.3
37,0.187505,0.346291,0.605773,0.539544,7.62e-05,0,0,76.3
38,0.182384,0.357447,0.594854,0.52673,7.48e-05,0,0,76.6
39,0.18008,0.372148,0.590814,0.522996,7.33e-05,0,0,76.3
40,0.177212,0.387386,0.585218,0.518787,7.19e-05,0,0,76.4
41,0.178455,0.353775,0.60751,0.539187,7.04e-05,0,0,76.3
42,0.174373,0.374901,0.583335,0.517275,6.89e-05,0,0,76.1
43,0.171828,0.386226,0.59903,0.535946,6.73e-05,0,0,76.4
44,0.167551,0.503893,0.507242,0.444259,6.58e-05,0,0,76.4
45,0.167854,0.356413,0.601561,0.53757,6.42e-05,0,0,76.7
46,0.16544,0.36182,0.623178,0.558693,6.27e-05,0,0,77.1
47,0.158608,0.48817,0.521944,0.4547,6.11e-05,0,0,77.0
48,0.144404,0.330792,0.625407,0.561573,5.95e-05,0,0,76.5
49,0.130495,0.370825,0.607516,0.546606,5.78e-05,0,0,77.5
50,0.116372,0.332977,0.635933,0.573123,5.62e-05,0,0,76.4
51,0.113059,0.338199,0.626545,0.565333,5.46e-05,0,0,76.7
52,0.097961,0.345444,0.618027,0.554367,5.30e-05,0,0,76.2
53,0.09597,0.398907,0.606854,0.545663,5.13e-05,0,0,76.4
54,0.08527,0.369535,0.623274,0.562982,4.97e-05,0,0,76.5
55,0.083029,0.483942,0.552917,0.493363,4.80e-05,0,0,76.3
56,0.071693,0.382802,0.604991,0.545874,4.64e-05,0,0,76.4
57,0.067212,0.406687,0.602207,0.540972,4.48e-05,0,0,76.4
58,0.069233,0.404197,0.620531,0.561532,4.32e-05,0,0,76.9
59,0.061859,0.407314,0.609365,0.546776,4.15e-05,0,0,76.3
60,0.063846,0.354033,0.63807,0.573085,3.99e-05,0,0,76.4
61,0.057279,0.3882,0.61906,0.557774,3.83e-05,0,0,77.5
62,0.058257,0.375792,0.632278,0.571326,3.68e-05,0,0,76.2
63,0.053866,0.40557,0.615267,0.552416,3.52e-05,0,0,76.3
64,0.051759,0.381616,0.626251,0.562565,3.37e-05,0,0,76.7
65,0.047345,0.371118,0.629106,0.569115,3.21e-05,0,0,76.4
66,0.049069,0.354597,0.635264,0.576533,3.06e-05,0,0,76.3
67,0.044261,0.379183,0.619364,0.560361,2.91e-05,0,0,76.4
68,0.046776,0.39098,0.639458,0.577405,2.77e-05,0,0,76.5
69,0.041358,0.374225,0.630897,0.569179,2.62e-05,0,0,77.0
70,0.043991,0.386801,0.632514,0.573884,2.48e-05,0,0,76.9
71,0.0473,0.391493,0.620719,0.56224,2.34e-05,0,0,76.0
72,0.039551,0.395988,0.617325,0.556656,2.21e-05,0,0,76.1
73,0.041938,0.376549,0.634371,0.57476,2.07e-05,0,0,76.3
74,0.043804,0.369594,0.627554,0.567725,1.95e-05,0,0,76.4
75,0.040681,0.392068,0.629599,0.570451,1.82e-05,0,0,76.1
76,0.037257,0.406117,0.619333,0.560896,1.70e-05,0,0,76.1
77,0.039257,0.383939,0.630751,0.573768,1.58e-05,0,0,76.2
78,0.039895,0.392343,0.633163,0.575026,1.46e-05,0,0,76.3
79,0.037212,0.378397,0.636543,0.57874,1.35e-05,0,0,76.4
80,0.039611,0.393918,0.632068,0.569923,1.25e-05,0,0,76.3
81,0.037473,0.367597,0.64159,0.580883,1.14e-05,0,0,76.3
82,0.036635,0.382166,0.646654,0.587892,1.05e-05,0,0,77.7
83,0.03587,0.405867,0.635689,0.576704,9.51e-06,0,0,77.9
84,0.037297,0.385422,0.636564,0.577219,8.62e-06,0,0,77.2
