epoch,train_loss,val_loss,val_dice,val_iou,lr,skipped_batches_train,skipped_batches_val,elapsed_s
1,0.768863,0.745872,0.281565,0.189181,1.00e-05,0,0,65.6
2,0.722628,0.678637,0.482011,0.38573,2.80e-05,0,0,63.5
3,0.674324,0.628428,0.500186,0.409589,4.60e-05,0,0,63.3
4,0.620472,0.616945,0.441111,0.349865,6.40e-05,0,0,64.0
5,0.560887,0.52477,0.520043,0.434947,8.20e-05,0,0,63.1
6,0.505471,0.546943,0.442697,0.343474,1.00e-04,0,0,63.5
7,0.457011,0.424007,0.534903,0.455082,1.00e-04,0,0,63.0
8,0.419767,0.415631,0.530847,0.439664,9.99e-05,0,0,63.6
9,0.394731,0.402064,0.52589,0.44185,9.98e-05,0,0,63.0
10,0.371284,0.366622,0.551605,0.475255,9.96e-05,0,0,62.7
11,0.353437,0.367497,0.542577,0.461912,9.93e-05,0,0,63.4
12,0.339642,0.345852,0.55118,0.478662,9.90e-05,0,0,62.7
13,0.326914,0.324472,0.572825,0.495945,9.87e-05,0,0,63.3
14,0.318152,0.336139,0.548521,0.475549,9.83e-05,0,0,63.8
15,0.308157,0.328091,0.559301,0.483927,9.78e-05,0,0,62.8
16,0.298806,0.32003,0.573701,0.499439,9.73e-05,0,0,62.9
17,0.292375,0.345683,0.545512,0.463298,9.68e-05,0,0,63.4
18,0.283502,0.321528,0.592684,0.516572,9.62e-05,0,0,62.9
19,0.276218,0.32323,0.585721,0.51032,9.55e-05,0,0,63.6
20,0.269619,0.334693,0.596788,0.526236,9.48e-05,0,0,62.8
21,0.261995,0.351794,0.54945,0.461984,9.40e-05,0,0,63.6
22,0.255544,0.336454,0.591994,0.522518,9.32e-05,0,0,62.8
23,0.255045,0.370401,0.549143,0.464679,9.24e-05,0,0,62.8
24,0.247732,0.323765,0.581689,0.508971,9.15e-05,0,0,63.2
25,0.237567,0.390439,0.545932,0.467858,9.05e-05,0,0,62.8
26,0.236784,0.372439,0.569994,0.496358,8.96e-05,0,0,62.7
27,0.226388,0.328843,0.60747,0.535852,8.85e-05,0,0,62.4
28,0.226826,0.337465,0.617321,0.5411,8.75e-05,0,0,62.6
29,0.219542,0.312676,0.609213,0.542586,8.64e-05,0,0,62.2
30,0.214403,0.358605,0.602866,0.537732,8.52e-05,0,0,61.9
31,0.209816,0.322622,0.622293,0.556692,8.40e-05,0,0,61.9
32,0.205319,0.322065,0.622236,0.556819,8.28e-05,0,0,62.5
33,0.204526,0.32693,0.62666,0.556274,8.15e-05,0,0,62.3
34,0.199349,0.338059,0.614985,0.545366,8.03e-05,0,0,62.4
35,0.193171,0.327444,0.621649,0.556245,7.89e-05,0,0,62.4
36,0.193388,0.346463,0.613609,0.544574,7.76e-05,0,0,62.1
37,0.190136,0.352246,0.607031,0.540336,7.62e-05,0,0,62.1
38,0.183697,0.38972,0.58713,0.515276,7.48e-05,0,0,62.1
39,0.185267,0.338063,0.616095,0.547126,7.33e-05,0,0,62.1
40,0.177679,0.32885,0.643612,0.57719,7.19e-05,0,0,62.0
41,0.177267,0.344907,0.614722,0.54936,7.04e-05,0,0,62.8
42,0.173652,0.334249,0.622173,0.553726,6.89e-05,0,0,62.3
43,0.172188,0.329911,0.645138,0.581603,6.73e-05,0,0,61.9
44,0.168876,0.364692,0.624783,0.558059,6.58e-05,0,0,62.5
45,0.169691,0.33574,0.623114,0.557636,6.42e-05,0,0,62.0
46,0.166631,0.358015,0.631422,0.567934,6.27e-05,0,0,62.2
47,0.159805,0.492906,0.531488,0.473709,6.11e-05,0,0,61.9
48,0.147941,0.396077,0.601276,0.53968,5.95e-05,0,0,62.5
49,0.139833,0.400061,0.597035,0.535029,5.78e-05,0,0,62.1
50,0.125445,0.441053,0.592514,0.536343,5.62e-05,0,0,62.2
51,0.116278,0.410473,0.602421,0.546415,5.46e-05,0,0,61.9
52,0.101801,0.342103,0.645158,0.583084,5.30e-05,0,0,62.4
53,0.102781,0.364086,0.635439,0.574541,5.13e-05,0,0,63.1
54,0.091991,0.413767,0.605929,0.546711,4.97e-05,0,0,62.0
55,0.08526,0.352827,0.636555,0.575753,4.80e-05,0,0,62.2
56,0.075854,0.351847,0.63928,0.577463,4.64e-05,0,0,63.4
57,0.069887,0.381855,0.627286,0.565989,4.48e-05,0,0,62.3
58,0.068606,0.358646,0.641911,0.581168,4.32e-05,0,0,62.2
59,0.0631,0.347964,0.65038,0.591403,4.15e-05,0,0,62.1
60,0.06518,0.33935,0.646361,0.585451,3.99e-05,0,0,62.8
61,0.059687,0.378622,0.629349,0.567607,3.83e-05,0,0,62.1
62,0.055677,0.374168,0.634721,0.578535,3.68e-05,0,0,62.0
63,0.05741,0.352914,0.649897,0.589205,3.52e-05,0,0,61.9
64,0.056829,0.334053,0.649737,0.587927,3.37e-05,0,0,62.0
65,0.048268,0.348166,0.661878,0.601657,3.21e-05,0,0,61.8
66,0.048558,0.376858,0.642567,0.584344,3.06e-05,0,0,62.6
67,0.049196,0.334819,0.660535,0.598637,2.91e-05,0,0,62.0
68,0.045386,0.3506,0.65111,0.589436,2.77e-05,0,0,61.9
69,0.041742,0.355481,0.652523,0.593535,2.62e-05,0,0,62.1
70,0.04208,0.342021,0.659036,0.598497,2.48e-05,0,0,62.5
71,0.042581,0.362353,0.650267,0.586882,2.34e-05,0,0,61.7
72,0.038431,0.340457,0.665494,0.604592,2.21e-05,0,0,62.1
73,0.040534,0.360326,0.651455,0.591405,2.07e-05,0,0,62.7
74,0.040884,0.351558,0.652302,0.592056,1.95e-05,0,0,61.9
75,0.040513,0.358969,0.649435,0.589691,1.82e-05,0,0,61.8
