epoch,train_loss,val_loss,val_dice,val_iou,lr,skipped_batches_train,skipped_batches_val,elapsed_s
1,0.612249,0.523165,0.512062,0.424189,1.00e-05,0,0,96.3
2,0.52268,0.493042,0.524807,0.438268,2.80e-05,0,0,94.7
3,0.489722,0.462579,0.542278,0.460107,4.60e-05,0,0,93.9
4,0.458907,0.437933,0.546276,0.475899,6.40e-05,0,0,94.9
5,0.435284,0.41663,0.561459,0.488044,8.20e-05,0,0,93.4
6,0.411951,0.398427,0.566354,0.488408,1.00e-04,0,0,93.7
7,0.38761,0.370568,0.579916,0.504958,1.00e-04,0,0,93.5
8,0.367421,0.362167,0.564778,0.488888,9.99e-05,0,0,93.5
9,0.345881,0.341599,0.586616,0.516758,9.98e-05,0,0,92.2
10,0.330624,0.35498,0.5735,0.503081,9.96e-05,0,0,91.8
11,0.318424,0.332971,0.616629,0.547007,9.93e-05,0,0,91.5
12,0.307347,0.325602,0.607976,0.539416,9.90e-05,0,0,94.1
13,0.29434,0.308026,0.615086,0.548866,9.87e-05,0,0,93.7
14,0.27973,0.322069,0.606043,0.544443,9.83e-05,0,0,92.2
15,0.266863,0.314677,0.608782,0.543791,9.78e-05,0,0,92.3
16,0.256337,0.304906,0.627556,0.565291,9.73e-05,0,0,92.0
17,0.239789,0.305844,0.616321,0.543622,9.68e-05,0,0,95.0
18,0.231949,0.297509,0.642671,0.578594,9.62e-05,0,0,95.1
19,0.22297,0.318727,0.641543,0.584068,9.55e-05,0,0,94.0
20,0.210711,0.303354,0.631894,0.57143,9.48e-05,0,0,97.9
21,0.208524,0.299086,0.646607,0.583164,9.40e-05,0,0,97.1
22,0.200212,0.31868,0.644531,0.583607,9.32e-05,0,0,100.2
23,0.196532,0.302817,0.634413,0.566904,9.24e-05,0,0,98.0
24,0.183151,0.293881,0.638503,0.579232,9.15e-05,0,0,97.1
25,0.178147,0.315695,0.665542,0.610462,9.05e-05,0,0,98.1
26,0.17226,0.343443,0.604723,0.541023,8.96e-05,0,0,98.7
27,0.171535,0.335655,0.596676,0.526768,8.85e-05,0,0,98.0
28,0.168901,0.329078,0.660935,0.601414,8.75e-05,0,0,97.4
29,0.159789,0.341037,0.60225,0.548718,8.64e-05,0,0,96.2
30,0.158676,0.313313,0.66363,0.606189,8.52e-05,0,0,97.1
31,0.154984,0.338474,0.638686,0.591512,8.40e-05,0,0,98.0
32,0.150967,0.308496,0.665739,0.608768,8.28e-05,0,0,97.1
33,0.150878,0.314206,0.659455,0.603545,8.15e-05,0,0,98.5
34,0.144282,0.318926,0.683546,0.630186,8.03e-05,0,0,98.1
35,0.144668,0.317203,0.67108,0.614644,7.89e-05,0,0,98.5
36,0.140547,0.321329,0.681907,0.628875,7.76e-05,0,0,97.5
